,0,1,Fecha registrada,OSF
0,0.34712285,0.26069996,2021-04-22 18:34:29.065000,"Comenzar de Nuevo, A.C."
1,0.34712285,0.26069996,2021-04-23 04:53:50.721000,"Casa Paterna La Gran Familia, A.C."
2,0.34712285,0.26069996,2021-04-23 07:49:20.607000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
3,0.34712285,0.26069996,2021-04-23 08:50:49.533000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
4,0.34712285,0.26069996,2021-04-23 10:12:58.437000,"Fundación Yepez, A.C."
5,0.34712285,0.26069996,2021-04-23 10:34:45.657000,"Viccali, Vida con Calidad, A.C."
6,0.34712285,0.26069996,2021-04-23 10:51:57.147000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
7,0.34712285,0.26069996,2021-04-23 11:44:44.031000,"Comenzar de Nuevo, A.C."
8,0.34712285,0.26069996,2021-04-23 17:25:15.536000,"Zamora Coaching INC, A.C."
9,0.34712285,0.26069996,2021-04-24 08:46:59.314000,"Fundación El Mundo Escribe, A.C."
10,0.34712285,0.26069996,2021-04-24 14:06:53.877000,"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C."
11,0.34712285,0.26069996,2021-04-25 11:29:10.617000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
12,0.26171935,0.33462563,2021-04-25 11:43:59.380000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
13,0.34712285,0.26069996,2021-04-25 16:44:09.972000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
14,0.34712285,0.26069996,2021-04-25 16:45:06.974000,"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C."
15,0.34712285,0.26069996,2021-04-25 22:00:38.884000,"Fundación Yepez, A.C."
16,0.34712285,0.26069996,2021-04-25 23:14:24.847000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
17,0.34712285,0.26069996,2021-04-25 23:45:45.852000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
18,0.34712285,0.26069996,2021-04-26 06:34:48.233000,"Fundación Yepez, A.C."
19,0.34712285,0.26069996,2021-04-26 06:41:58.647000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
20,0.26131594,0.29170075,2021-04-26 09:46:16.253000,"Viccali, Vida con Calidad, A.C."
21,0.34712285,0.26069996,2021-04-26 11:27:23.871000,"PROMOCIÓN DE PAZ, A.B.P."
22,0.34712285,0.26069996,2021-04-26 11:28:53.589000,"PROMOCIÓN DE PAZ, A.B.P."
23,0.34712285,0.26069996,2021-04-26 12:44:06.720000,"Viccali, Vida con Calidad, A.C."
24,0.34712285,0.26069996,2021-04-26 12:44:16.548000,"Viccali, Vida con Calidad, A.C."
25,0.34712285,0.26069996,2021-04-26 12:44:34.972000,"Viccali, Vida con Calidad, A.C."
26,0.34712285,0.26069996,2021-04-26 12:45:40.722000,"Viccali, Vida con Calidad, A.C."
27,0.34712285,0.26069996,2021-04-26 12:45:58.752000,"Viccali, Vida con Calidad, A.C."
28,0.34712285,0.26069996,2021-04-26 12:46:28.581000,"Viccali, Vida con Calidad, A.C."
29,0.34712285,0.26069996,2021-04-26 15:08:48.696000,"Fundación Rolivel, A.C."
30,0.34712285,0.26069996,2021-04-26 16:05:31.696000,Climate Science Ltd
31,0.34712285,0.26069996,2021-04-26 16:09:00.738000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
32,0.34712285,0.26069996,2021-04-26 19:48:17.580000,"Viccali, Vida con Calidad, A.C."
33,0.34712285,0.26069996,2021-04-26 19:57:35.510000,Reapropia
34,0.34712285,0.26069996,2021-04-26 21:23:46.913000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
35,0.34712285,0.26069996,2021-04-26 22:39:36.847000,Climate Science Ltd
36,0.34712285,0.26069996,2021-04-26 22:52:41.257000,Climate Science Ltd
37,0.34712285,0.26069996,2021-04-26 23:24:00.811000,DIF Nuevo León
38,0.34712285,0.26069996,2021-04-27 08:21:18.568000,Climate Science Ltd
39,0.34712285,0.26069996,2021-04-27 08:50:14.988000,"Comenzar de Nuevo, A.C."
40,0.34712285,0.26069996,2021-04-27 09:30:48.243000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
41,0.34712285,0.26069996,2021-04-27 10:19:12.105000,"Fundación El Mundo Escribe, A.C."
42,0.34712285,0.26069996,2021-04-27 10:25:07.157000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
43,0.34712285,0.26069996,2021-04-27 10:29:13.221000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
44,0.34712285,0.26069996,2021-04-27 10:29:40.364000,"Fundación Yepez, A.C."
45,0.34712285,0.26069996,2021-04-27 10:31:57.333000,"Asociación de Espina Bífida de Nuevo León, A.B.P."
46,0.34712285,0.26069996,2021-04-27 10:38:55.689000,"Asociación de Espina Bífida de Nuevo León, A.B.P."
47,0.34712285,0.26069996,2021-04-27 10:42:35.262000,"PROMOCIÓN DE PAZ, A.B.P."
48,0.34712285,0.26069996,2021-04-27 10:48:03.084000,"Asociación de Espina Bífida de Nuevo León, A.B.P."
49,0.34712285,0.26069996,2021-04-27 10:54:23.732000,"Fundación Yepez, A.C."
50,0.34712285,0.26069996,2021-04-27 10:56:51.362000,"Fundación Rolivel, A.C."
51,0.34712285,0.26069996,2021-04-27 11:10:30.347000,DIF Nuevo León
52,0.34712285,0.26069996,2021-04-27 11:24:09.090000,"Fundación Rolivel, A.C."
53,0.34712285,0.26069996,2021-04-27 11:38:33.621000,Zihuame Mochilla A.C.
54,0.34712285,0.26069996,2021-04-27 11:54:55.035000,"Viccali, Vida con Calidad, A.C."
55,0.34712285,0.26069996,2021-04-27 11:59:56.910000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
56,0.34712285,0.26069996,2021-04-27 12:04:40.546000,Zihuame Mochilla A.C.
57,0.34712285,0.26069996,2021-04-27 12:07:01.926000,Zihuame Mochilla A.C.
58,0.34712285,0.26069996,2021-04-27 12:08:10.820000,"Asociación de Espina Bífida de Nuevo León, A.B.P."
59,0.34712285,0.26069996,2021-04-27 12:10:24.326000,"Fundación Yepez, A.C."
60,0.34712285,0.26069996,2021-04-27 14:31:19.868000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
61,0.34712285,0.26069996,2021-04-27 14:45:04.622000,"MARCO, Museo de Arte Contemporáneo"
